user_id,item_id,action,timestamp
e1f47615-784d-41d0-a787-fc7383e976ac,e8d978fa-8120-40ba-b662-2223cfd3af93,like,1726148676.348923
1a309ad5-b47a-4c02-8aca-269e18166285,579d17a6-a8f8-447b-9da4-44f2c0c08f6a,like,1726148681.8304577
3e8640bb-e8c4-487f-9726-17ad0360dc7d,1e162dfc-dd5b-4c99-a03e-aed6a95115ec,like,1726148684.7866669
4dcc2f25-2a20-47ef-8d1f-3ed2d2be6446,f86bd514-173a-42c5-aa48-f88731d51f82,like,1726148686.1082342
b0b36aac-8c9a-481e-aeb3-68b036597a2c,f180dd14-95ad-4e42-b9c9-5761f41594af,like,1726148688.291722
c7593313-61e6-47ef-a104-7d4e3e10549f,e8d978fa-8120-40ba-b662-2223cfd3af93,like,1726148696.0873835
dd64de18-b526-4aca-b2eb-a7ecbc23138d,e8d978fa-8120-40ba-b662-2223cfd3af93,dislike,1726148696.0990636
9044066e-4ef1-4af8-95ba-caacce418f86,e8d978fa-8120-40ba-b662-2223cfd3af93,dislike,1726148696.210533
68e3dbe2-00e4-435e-8c2d-73c005e1d8ae,579d17a6-a8f8-447b-9da4-44f2c0c08f6a,like,1726148696.8230958
68e3dbe2-00e4-435e-8c2d-73c005e1d8ae,1e162dfc-dd5b-4c99-a03e-aed6a95115ec,like,1726148696.850607
ef2d2cae-b918-40db-8d45-fd0aadc5e1b3,1e162dfc-dd5b-4c99-a03e-aed6a95115ec,like,1726148697.078225
b2fd23a0-f0e3-4eee-a532-7638e8256812,579d17a6-a8f8-447b-9da4-44f2c0c08f6a,like,1726148697.1425853
b2fd23a0-f0e3-4eee-a532-7638e8256812,e8d978fa-8120-40ba-b662-2223cfd3af93,like,1726148697.16961
8e2f1dad-52fd-4e5f-a57c-5229222d9c8e,e8d978fa-8120-40ba-b662-2223cfd3af93,like,1726148697.1748586
f99bab8c-f4a1-47e7-ab7d-2e38e2aad886,579d17a6-a8f8-447b-9da4-44f2c0c08f6a,like,1726148697.1796598
41f6f96a-71d8-4710-885a-a2cc2c38781e,e8d978fa-8120-40ba-b662-2223cfd3af93,like,1726148697.1831005
d6a39f22-6db8-46a3-9528-c1597dbfeb4e,579d17a6-a8f8-447b-9da4-44f2c0c08f6a,like,1726148697.2138798
8e2f1dad-52fd-4e5f-a57c-5229222d9c8e,1e162dfc-dd5b-4c99-a03e-aed6a95115ec,like,1726148697.2163568
623879c6-9605-4488-9e1e-f6bf96a1ad71,1e162dfc-dd5b-4c99-a03e-aed6a95115ec,like,1726148697.2189932
f99bab8c-f4a1-47e7-ab7d-2e38e2aad886,e8d978fa-8120-40ba-b662-2223cfd3af93,like,1726148697.2206075
f99bab8c-f4a1-47e7-ab7d-2e38e2aad886,1e162dfc-dd5b-4c99-a03e-aed6a95115ec,like,1726148697.251153
0a34194e-4a18-4257-91d9-7642b915967e,579d17a6-a8f8-447b-9da4-44f2c0c08f6a,like,1726148698.3193567
fcfe81da-7891-41a7-ac7f-2e8be191045c,e8d978fa-8120-40ba-b662-2223cfd3af93,like,1726148698.3326066
03c5dde5-4521-460d-b1fc-78b3a593f87d,1e162dfc-dd5b-4c99-a03e-aed6a95115ec,like,1726148698.3339431
fcfe81da-7891-41a7-ac7f-2e8be191045c,1e162dfc-dd5b-4c99-a03e-aed6a95115ec,like,1726148698.3715239
102d2844-4c4b-4cde-b2df-3a22aca77d03,1e162dfc-dd5b-4c99-a03e-aed6a95115ec,like,1726148698.4444742
